Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
FAT-SBP,Skywest Airlines Inc.,CANADAIR,118,CA,-119.718139648,Fresno Yosemite International,36.7761955261,-120.64239502,San Luis Obispo Co-McChesney,CA,35.2370567322,1,Fresno,San Luis Obispo
BZN-GTF,Skywest Airlines Inc.,BOMBARDIER INC,118,MT,-111.153007507,Gallatin,45.7769012451,-111.370681763,Great Falls Intl,MT,47.4820022583,1,Bozeman,Great Falls
CLT-FAY,Mesa Airlines Inc.,BOMBARDIER INC,118,NC,-78.8799972534,Fayetteville Municipal,34.9914703369,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,184,Fayetteville,Charlotte
FLG-PHX,Mesa Airlines Inc.,CANADAIR,119,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-111.671218872,Flagstaff Pulliam,AZ,35.1384544373,34,Phoenix,Flagstaff
FAT-MRY,Expressjet Airlines Inc.,EMBRAER,119,CA,-121.842948914,Monterey Peninsula,36.5869827271,-119.718139648,Fresno Yosemite International,CA,36.7761955261,2,Monterey,Fresno
FLG-PHX,Mesa Airlines Inc.,BOEING,119,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-111.671218872,Flagstaff Pulliam,AZ,35.1384544373,51,Phoenix,Flagstaff
FLG-PHX,Mesa Airlines Inc.,BOMBARDIER INC,119,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-111.671218872,Flagstaff Pulliam,AZ,35.1384544373,82,Phoenix,Flagstaff
DCA-PHL,US Airways Inc.,AIRBUS,119,VA,-77.0377197266,Ronald Reagan Washington National,38.8520851135,-75.2411422729,Philadelphia Intl,PA,39.8719520569,322,Arlington,Philadelphia
DCA-PHL,US Airways Inc.,BOEING,119,VA,-77.0377197266,Ronald Reagan Washington National,38.8520851135,-75.2411422729,Philadelphia Intl,PA,39.8719520569,74,Arlington,Philadelphia
DCA-PHL,US Airways Inc.,EMBRAER,119,VA,-77.0377197266,Ronald Reagan Washington National,38.8520851135,-75.2411422729,Philadelphia Intl,PA,39.8719520569,136,Arlington,Philadelphia
FLG-PHX,Mesa Airlines Inc.,DEHAVILLAND,119,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-111.671218872,Flagstaff Pulliam,AZ,35.1384544373,3575,Phoenix,Flagstaff
GRR-MKE,Skywest Airlines Inc.,CANADAIR,120,MI,-85.5227661133,Kent County International,42.880821228,-87.8965835571,General Mitchell International,WI,42.9472236633,672,Grand Rapids,Milwaukee
DTW-GRR,Comair Inc.,BOMBARDIER INC,120,MI,-85.5227661133,Kent County International,42.880821228,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,1,Grand Rapids,Detroit
DTW-GRR,Northwest Airlines Inc.,AIRBUS,120,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-85.5227661133,Kent County International,MI,42.880821228,2122,Detroit,Grand Rapids
DTW-GRR,Northwest Airlines Inc.,BOEING,120,MI,-85.5227661133,Kent County International,42.880821228,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,4,Grand Rapids,Detroit
DTW-GRR,Northwest Airlines Inc.,MCDONNELL DOUGLAS,120,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-85.5227661133,Kent County International,MI,42.880821228,2178,Detroit,Grand Rapids
CLT-TRI,Mesa Airlines Inc.,BOMBARDIER INC,120,TN,-82.4074172974,Tri-Cities Regional,36.4752159119,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,32,Bristol,Charlotte
LSE-MSP,Northwest Airlines Inc.,MCDONNELL DOUGLAS,120,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-91.2565383911,La Crosse Municipal,WI,43.8793792725,189,Minneapolis,La Crosse
GRR-MKE,Skywest Airlines Inc.,BOMBARDIER INC,120,MI,-85.5227661133,Kent County International,42.880821228,-87.8965835571,General Mitchell International,WI,42.9472236633,1816,Grand Rapids,Milwaukee
DEN-EGE,Mesa Airlines Inc.,DEHAVILLAND,121,CO,-106.917694092,Eagle County Regional,39.6425666809,-104.666999817,Denver Intl,CO,39.8584098816,2757,Eagle,Denver
DEN-EGE,United Air Lines Inc.,AIRBUS,121,CO,-104.666999817,Denver Intl,39.8584098816,-106.917694092,Eagle County Regional,CO,39.6425666809,551,Denver,Eagle
ILM-RDU,Comair Inc.,CANADAIR,122,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-77.902557373,Wilmington International,NC,34.2706108093,1,Raleigh,Wilmington
AZO-ORD,American Eagle Airlines Inc.,EMBRAER,122,MI,-85.5520553589,Kalamazoo County,42.2348747253,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,2159,Kalamazoo,Chicago
EUG-MFR,Skywest Airlines Inc.,BOMBARDIER INC,122,OR,-122.873497009,Rogue Valley International,42.3742294312,-123.218688965,Mahlon Sweet,OR,44.123260498,1,Medford,Eugene
AZO-ORD,Skywest Airlines Inc.,BOMBARDIER INC,122,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-85.5520553589,Kalamazoo County,MI,42.2348747253,1598,Chicago,Kalamazoo
AZO-ORD,Skywest Airlines Inc.,CANADAIR,122,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-85.5520553589,Kalamazoo County,MI,42.2348747253,42,Chicago,Kalamazoo
IYK-LAX,Skywest Airlines Inc.,EMBRAER,123,CA,-118.408073425,Los Angeles International,33.9425354004,-117.82951355,Inyokern,CA,35.6588439941,1846,Los Angeles,Inyokern
CVG-HTS,Comair Inc.,CANADAIR,123,WV,-82.5580291748,Tri-State/Walker-Long,38.3666648865,-84.6621704102,Cincinnati Northern Kentucky Intl,KY,39.0461425781,135,Huntington,Covington
CVG-HTS,Comair Inc.,BOMBARDIER INC,123,WV,-82.5580291748,Tri-State/Walker-Long,38.3666648865,-84.6621704102,Cincinnati Northern Kentucky Intl,KY,39.0461425781,171,Huntington,Covington
ASE-DEN,Skywest Airlines Inc.,BOMBARDIER INC,125,CO,-106.868843079,Aspen-Pitkin Co/Sardy,39.22315979,-104.666999817,Denver Intl,CO,39.8584098816,4446,Aspen,Denver
ASE-DEN,Mesa Airlines Inc.,DEHAVILLAND,125,CO,-104.666999817,Denver Intl,39.8584098816,-106.868843079,Aspen-Pitkin Co/Sardy,CO,39.22315979,3499,Denver,Aspen
ASE-DEN,Mesa Airlines Inc.,CANADAIR,125,CO,-104.666999817,Denver Intl,39.8584098816,-106.868843079,Aspen-Pitkin Co/Sardy,CO,39.22315979,1,Denver,Aspen
IAH-LCH,Expressjet Airlines Inc.,EMBRAER,127,LA,-93.2234039307,Lake Charles Regional,30.1260967255,-95.3397216797,George Bush Intercontinental,TX,29.9804725647,1914,Lake Charles,Houston
FNT-MKG,Skywest Airlines Inc.,BOMBARDIER INC,127,MI,-83.7434539795,Bishop,42.9655036926,-86.2382202148,Muskegon County,MI,43.1694869995,141,Flint,Muskegon
FNT-MKG,Skywest Airlines Inc.,CANADAIR,127,MI,-83.7434539795,Bishop,42.9655036926,-86.2382202148,Muskegon County,MI,43.1694869995,73,Flint,Muskegon
FAT-SJC,Skywest Airlines Inc.,BOMBARDIER INC,129,CA,-119.718139648,Fresno Yosemite International,36.7761955261,-121.929008484,San Jose International,CA,37.3618621826,1,Fresno,San Jose
PDX-SEA,Skywest Airlines Inc.,EMBRAER,129,OR,-122.597503662,Portland Intl,45.588722229,-122.309310913,Seattle-Tacoma Intl,WA,47.4489822388,4803,Portland,Seattle
LIT-MEM,Northwest Airlines Inc.,AIRBUS,129,TN,-89.9766693115,Memphis International,35.0424156189,-92.2242431641,Adams,AR,34.7293968201,709,Memphis,Little Rock
LIT-MEM,Northwest Airlines Inc.,MCDONNELL DOUGLAS,129,TN,-89.9766693115,Memphis International,35.0424156189,-92.2242431641,Adams,AR,34.7293968201,974,Memphis,Little Rock
CLT-RDU,Mesa Airlines Inc.,BOMBARDIER INC,130,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,282,Raleigh,Charlotte
CLT-RDU,US Airways Inc.,AIRBUS,130,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,1626,Raleigh,Charlotte
ORD-PIA,American Eagle Airlines Inc.,EMBRAER,130,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-89.6933059692,Greater Peoria Regional,IL,40.6642417908,2456,Chicago,Peoria
DAY-LEX,Skywest Airlines Inc.,BOMBARDIER INC,130,OH,-84.2193756104,James M Cox Dayton Intl,39.9023742676,-84.6053924561,Blue Grass,KY,38.0369720459,1,Dayton,Lexington
CLT-RDU,US Airways Inc.,EMBRAER,130,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,952,Raleigh,Charlotte
ORD-PIA,Skywest Airlines Inc.,BOMBARDIER INC,130,IL,-89.6933059692,Greater Peoria Regional,40.6642417908,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,3009,Peoria,Chicago
ORD-PIA,Skywest Airlines Inc.,CANADAIR,130,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-89.6933059692,Greater Peoria Regional,IL,40.6642417908,91,Chicago,Peoria
CLT-RDU,Expressjet Airlines Inc.,EMBRAER,130,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,1,Raleigh,Charlotte
CLT-RDU,US Airways Inc.,BOEING,130,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-80.9431228638,Charlotte/Douglas International,NC,35.214012146,1510,Raleigh,Charlotte
RDD-SMF,Skywest Airlines Inc.,EMBRAER,131,CA,-122.293403625,Redding Municipal,40.5089836121,-121.590766907,Sacramento International,CA,38.6954231262,2,Redding,Sacramento
MFR-RDD,Skywest Airlines Inc.,EMBRAER,132,CA,-122.293403625,Redding Municipal,40.5089836121,-122.873497009,Rogue Valley International,OR,42.3742294312,1,Redding,Medford
MCO-RSW,Southwest Airlines Co.,BOEING,133,FL,-81.7551651001,Southwest Florida International,26.5361671448,-81.3160247803,Orlando International,FL,28.4288883209,2758,Ft. Myers,Orlando
MCO-RSW,Southwest Airlines Co.,CESSNA,133,FL,-81.3160247803,Orlando International,28.4288883209,-81.7551651001,Southwest Florida International,FL,26.5361671448,3,Orlando,Ft. Myers
EKO-TWF,Skywest Airlines Inc.,EMBRAER,133,ID,-114.487731934,Joslin Field - Magic Valley,42.481803894,-115.791694641,Elko Regional,NV,40.824924469,3,Twin Falls,Elko
MCO-RSW,Southwest Airlines Co.,BEECH,133,FL,-81.7551651001,Southwest Florida International,26.5361671448,-81.3160247803,Orlando International,FL,28.4288883209,9,Ft. Myers,Orlando
DFW-GRK,American Eagle Airlines Inc.,BOMBARDIER INC,134,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-97.827796936,Robert Gray AAF,TX,31.0648975372,1726,Dallas-Fort Worth,Killeen
ATL-BHM,Skywest Airlines Inc.,BOMBARDIER INC,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,17,Birmingham,Atlanta
ATL-BHM,Delta Air Lines Inc.,MCDONNELL DOUGLAS,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,3162,Birmingham,Atlanta
DFW-GRK,American Eagle Airlines Inc.,EMBRAER,134,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-97.827796936,Robert Gray AAF,TX,31.0648975372,2515,Dallas-Fort Worth,Killeen
ATL-BHM,Delta Air Lines Inc.,BOEING,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,369,Birmingham,Atlanta
DFW-GRK,American Eagle Airlines Inc.,SAAB-SCANIA,134,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-97.827796936,Robert Gray AAF,TX,31.0648975372,71,Dallas-Fort Worth,Killeen
GRB-MQT,American Eagle Airlines Inc.,EMBRAER,134,MI,-87.395362854,Marquette County Airport,46.3536376953,-88.1295928955,Austin Straubel International,WI,44.4850730896,461,Marquette,Green Bay
ATL-BHM,Comair Inc.,CANADAIR,134,GA,-84.426940918,William B Hartsfield-Atlanta Intl,33.6404457092,-86.7535476685,Birmingham International,AL,33.5629425049,2,Atlanta,Birmingham
ATL-BHM,Comair Inc.,BOMBARDIER INC,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,163,Birmingham,Atlanta
ATL-BHM,Atlantic Southeast Airlines,CANADAIR,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,68,Birmingham,Atlanta
ATL-BHM,Atlantic Southeast Airlines,BOMBARDIER INC,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,1527,Birmingham,Atlanta
ATL-BHM,Atlantic Southeast Airlines,ATR,134,AL,-86.7535476685,Birmingham International,33.5629425049,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,2,Birmingham,Atlanta
IAD-PHL,Mesa Airlines Inc.,CANADAIR,134,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-77.4558105469,Washington Dulles International,VA,38.9445304871,540,Philadelphia,Chantilly
IAD-PHL,Mesa Airlines Inc.,BOMBARDIER INC,134,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-77.4558105469,Washington Dulles International,VA,38.9445304871,568,Philadelphia,Chantilly
LAX-SMX,Skywest Airlines Inc.,EMBRAER,135,CA,-120.457580566,Santa Maria Pub/Capt G Allan Hancock,34.8992500305,-118.408073425,Los Angeles International,CA,33.9425354004,3293,Santa Maria,Los Angeles
CMI-ORD,American Eagle Airlines Inc.,EMBRAER,135,IL,-88.2780532837,University of Illinois-Willard,40.0392494202,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,3614,Champaign/Urbana,Chicago
GRR-ORD,United Air Lines Inc.,BOEING,137,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-85.5227661133,Kent County International,MI,42.880821228,1678,Chicago,Grand Rapids
GRR-ORD,Skywest Airlines Inc.,BOMBARDIER INC,137,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-85.5227661133,Kent County International,MI,42.880821228,588,Chicago,Grand Rapids
