installation_year,city,dockcount
2013,San Jose,27
2013,San Jose,15
2013,San Jose,11
2013,San Jose,19
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,19
2013,San Jose,19
2013,San Jose,15
2013,San Jose,19
2013,San Jose,15
2013,Redwood City,15
2013,Redwood City,25
2013,Redwood City,15
2013,Redwood City,15
2013,Redwood City,15
2013,Redwood City,15
2013,Mountain View,15
2013,Mountain View,23
2013,Mountain View,23
2013,Mountain View,15
2013,Mountain View,15
2013,Mountain View,11
2013,Mountain View,15
2013,Palo Alto,23
2013,Palo Alto,11
2013,Palo Alto,15
2013,Palo Alto,11
2013,Palo Alto,15
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,15
2013,San Francisco,27
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,27
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,15
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,27
2013,San Jose,15
2014,San Francisco,15
2014,Redwood City,15
2013,San Jose,27
2013,San Jose,15
2013,San Jose,11
2013,San Jose,19
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,19
2013,San Jose,19
2013,San Jose,15
2013,San Jose,19
2013,San Jose,15
2013,Redwood City,15
2013,Redwood City,25
2013,Redwood City,15
2013,Redwood City,15
2013,Redwood City,15
2013,Redwood City,15
2013,Mountain View,15
2013,Mountain View,23
2013,Mountain View,23
2013,Mountain View,15
2013,Mountain View,15
2013,Mountain View,11
2013,Mountain View,15
2013,Palo Alto,23
2013,Palo Alto,11
2013,Palo Alto,15
2013,Palo Alto,11
2013,Palo Alto,15
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,15
2013,San Francisco,27
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,27
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,15
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,27
2013,San Jose,15
2014,San Francisco,15
2014,Redwood City,15
2014,San Jose,15
2013,San Jose,27
2013,San Jose,15
2013,San Jose,11
2013,San Jose,19
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,15
2013,San Jose,19
2013,San Jose,19
2013,San Jose,15
2013,San Jose,19
2013,San Jose,15
2013,Redwood City,15
2013,Redwood City,25
2013,Redwood City,15
2013,Redwood City,15
2013,Redwood City,15
2013,Redwood City,15
2013,Mountain View,15
2013,Mountain View,23
2013,Mountain View,23
2013,Mountain View,15
2013,Mountain View,15
2013,Mountain View,11
2013,Mountain View,15
2013,Palo Alto,23
2013,Palo Alto,11
2013,Palo Alto,15
2013,Palo Alto,11
2013,Palo Alto,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,15
2013,San Francisco,27
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,15
2013,San Francisco,15
2013,San Francisco,19
2013,San Francisco,27
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,23
2013,San Francisco,15
2013,San Francisco,23
2013,San Francisco,19
2013,San Francisco,19
2013,San Francisco,27
2013,San Jose,15
2014,San Francisco,15
2014,Redwood City,15
2014,San Jose,15
